match_id,match_number,date,start_time,player_id_of_the_match,toss_winner,toss_selection,venue_id,venue_name,Team1,Team2,Score1,Score2,winner_team
715,Match 91,12-01-2018,20:00,2026.0,2,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C.,U Mumba,34,41,U Mumba
716,Match 92,12-02-2018,20:00,757.0,5,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",U Mumba,Gujarat Fortunegiants,36,26,U Mumba
717,Match 93,12-02-2018,21:00,174.0,2,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C.,Puneri Paltan,35,24,Dabang Delhi K.C.
718,Match 94,12-04-2018,20:00,757.0,6,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",Patna Pirates,Gujarat Fortunegiants,27,45,Gujarat Fortunegiants
719,Match 95,12-04-2018,21:00,251.0,2,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C.,Telugu Titans,34,29,Dabang Delhi K.C.
720,Match 96,12-05-2018,20:00,388.0,28,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",Haryana Steelers,Bengal Warriors,35,33,Haryana Steelers
721,Match 97,12-05-2018,21:00,326.0,1,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",Bengaluru Bulls,Dabang Delhi K.C.,32,31,Bengaluru Bulls
722,Match 98,12-06-2018,20:00,388.0,30,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",U.P. Yoddha,Haryana Steelers,30,29,U.P. Yoddha
723,Match 99,12-06-2018,21:00,26.0,29,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",Tamil Thalaivas,Dabang Delhi K.C.,37,33,Tamil Thalaivas
724,Match 100,12-07-2018,20:00,219.0,8,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans,Gujarat Fortunegiants,27,29,Gujarat Fortunegiants
725,Match 101,12-07-2018,21:00,197.0,6,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Vizag",Patna Pirates,Puneri Paltan,53,36,Patna Pirates
726,Match 102,12-08-2018,20:00,2026.0,4,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Vizag",Bengal Warriors,U Mumba,31,20,Bengal Warriors
727,Match 103,12-08-2018,21:00,41.0,3,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Vizag",Jaipur Pink Panthers,Telugu Titans,36,26,Jaipur Pink Panthers
728,Match 104,12-09-2018,20:00,41.0,29,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Vizag",Tamil Thalaivas,Jaipur Pink Panthers,24,37,Jaipur Pink Panthers
729,Match 105,12-09-2018,21:00,388.0,8,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans,Haryana Steelers,35,31,Telugu Titans
73,Match 12,7/24/2015,21:00,29.0,4,Choice of court :Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors,U Mumba,25,29,U Mumba
730,Match 106,12-11-2018,20:00,2026.0,2,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Vizag",Dabang Delhi K.C.,U Mumba,19,44,U Mumba
731,Match 107,12-11-2018,21:00,155.0,8,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans,U.P. Yoddha,20,27,U.P. Yoddha
732,Match 108,12-12-2018,20:00,219.0,28,Choice of court :Right,8,"Rajiv Gandhi Indoor Stadium, Vizag",Haryana Steelers,Gujarat Fortunegiants,37,47,Gujarat Fortunegiants
733,Match 109,12-12-2018,21:00,318.0,1,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Vizag",Bengaluru Bulls,Telugu Titans,24,37,Telugu Titans
734,Match 110,12/13/2018,20:00,81.0,6,Choice of court :Left,8,"Rajiv Gandhi Indoor Stadium, Vizag",Patna Pirates,Telugu Titans,41,36,Patna Pirates
735,Match 111,12/14/2018,20:00,41.0,7,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",Puneri Paltan,Jaipur Pink Panthers,36,23,Puneri Paltan
736,Match 112,12/14/2018,21:00,143.0,4,Choice of court :Right,25,"Tau Devilal Sports Complex, Panchkula",Bengal Warriors,Tamil Thalaivas,28,21,Bengal Warriors
738,Match 114,12/15/2018,21:00,2026.0,5,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",U Mumba,Jaipur Pink Panthers,35,35,
739,Match 115,12/16/2018,20:00,155.0,30,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",U.P. Yoddha,Patna Pirates,31,47,Patna Pirates
74,Match 13,7/25/2015,20:00,195.0,1,Choice of court :Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengaluru Bulls,Puneri Paltan,31,26,Bengaluru Bulls
740,Match 116,12/16/2018,21:00,41.0,31,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",Gujarat Fortunegiants,Jaipur Pink Panthers,29,34,Jaipur Pink Panthers
741,Match 117,12/18/2018,20:00,318.0,8,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",Telugu Titans,Bengaluru Bulls,44,28,Telugu Titans
742,Match 118,12/18/2018,21:00,41.0,28,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",Haryana Steelers,Jaipur Pink Panthers,39,30,Haryana Steelers
744,Match 120,12/19/2018,21:00,219.0,31,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",Gujarat Fortunegiants,Jaipur Pink Panthers,31,33,Jaipur Pink Panthers
745,Match 121,12/20/2018,20:00,36.0,2,Choice of court :Left,25,"Tau Devilal Sports Complex, Panchkula",Dabang Delhi K.C.,Jaipur Pink Panthers,37,37,
746,Match 123,12/21/2018,21:00,772.0,8,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Telugu Titans,Puneri Paltan,35,20,Telugu Titans
747,Match 124,12/22/2018,20:00,261.0,5,Choice of court :Right,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",U Mumba,U.P. Yoddha,32,34,U.P. Yoddha
748,Match 125,12/22/2018,21:00,143.0,6,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates,Bengal Warriors,39,23,Patna Pirates
749,Match 126,12/23/2018,20:00,251.0,2,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Dabang Delhi K.C.,Bengal Warriors,31,37,Bengal Warriors
750,Match 122,12/21/2018,20:00,12.0,29,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Tamil Thalaivas,Bengal Warriors,27,24,Tamil Thalaivas
752,Match 128,12/25/2018,21:00,143.0,8,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Telugu Titans,Bengal Warriors,39,34,Telugu Titans
